Item, Cluster, Solution
1, 38, 0
2, 19, 0
3, 28, 2
4, 37, 0
5, 33, 3
6, 29, 3
7, 6, 1
8, 5, 0
9, 15, 2
10, 1, 0
11, 19, 0
12, 36, 2
13, 30, 2
14, 29, 3
15, 35, 0
16, 29, 0
17, 26, 0
18, 23, 0
19, 33, 2
20, 33, 1
21, 28, 2
22, 23, 2
23, 19, 0
24, 37, 0
25, 7, 0
26, 3, 1
27, 5, 3
28, 5, 1
29, 34, 1
30, 24, 1
31, 19, 2
32, 32, 2
33, 35, 0
34, 26, 2
35, 19, 0
36, 37, 2
37, 3, 1
38, 24, 0
39, 2, 0
40, 26, 1
41, 25, 3
42, 28, 2
43, 13, 1
44, 19, 0
45, 7, 1
46, 38, 2
47, 10, 3
48, 21, 3
49, 21, 1
50, 33, 3
51, 26, 3
52, 30, 0
53, 37, 0
54, 5, 0
55, 26, 2
56, 22, 3
57, 31, 2
58, 26, 0
59, 24, 3
60, 14, 1
61, 14, 3
62, 28, 3
63, 24, 2
64, 20, 1
65, 24, 0
66, 33, 3
67, 35, 0
68, 19, 1
69, 17, 1
70, 4, 2
71, 24, 0
72, 34, 1
73, 4, 3
74, 24, 1
75, 23, 2
76, 8, 2
77, 32, 2
78, 0, 1
79, 23, 0
80, 31, 2
81, 19, 1
82, 4, 1
83, 28, 2
84, 14, 1
85, 29, 1
86, 0, 1
87, 30, 3
88, 19, 1
89, 20, 1
90, 5, 0
91, 29, 0
92, 3, 0
93, 12, 1
94, 29, 3
95, 8, 3
96, 20, 3
97, 9, 0
98, 14, 1
99, 5, 3
100, 36, 1
101, 18, 3
102, 12, 2
103, 29, 3
104, 6, 0
105, 1, 3
106, 11, 2
107, 20, 2
108, 31, 3
109, 11, 1
110, 9, 3
111, 24, 1
112, 33, 1
113, 1, 3
114, 28, 1
115, 5, 2
116, 13, 1
117, 1, 3
118, 24, 1
119, 17, 3
120, 31, 1
121, 25, 1
122, 27, 3
123, 18, 2
124, 4, 0
125, 37, 2
126, 8, 0
127, 5, 1
128, 16, 3
129, 12, 1
130, 20, 0
131, 15, 3
132, 2, 0
133, 10, 3
134, 22, 3
135, 17, 1
136, 23, 1
137, 23, 2
138, 36, 0
139, 28, 3
140, 8, 3
141, 4, 3
142, 14, 0
143, 36, 2
144, 10, 1
145, 17, 0
146, 8, 3
147, 32, 2
148, 16, 0
149, 8, 2
150, 29, 2
151, 39, 1
152, 33, 3
153, 33, 0
154, 24, 2
