Cluster,Top Words
-1,trabajo puesto tareas si hacer tiempo tener empresa compañeros buscar
0,meses semanas unas feedback mes primeros necesario vez empesar indicadores
1,estrategias estrategia mejorar nuevas buscar resultados gestion mindfulness adoptar resolver
2,cambiar cambios solicitar horario cambio trabajo utilizado metodo activo aprovecar
3,buscar trabajo internet alternativas ocurra llene desesperarme renunciar plantearse enfoques
4,mejorar procesos optimizar productividad ser mejoras crecimiento producción intentar formas
5,nuevo estudiar puesto clientes trabajo investigar buscar oficina cliente tendencias
6,actividades realizar aire libre pizarron formativas activas placenteras complementarias realizadas
7,reuniones reunión innecesarias podría trabajadores participar jefes organizar convocar previstas
8,ayuda compañeros pedir ayudar apoyo apoyar si ofrecer solicitar tareas
9,errores cometer evitar mal demasiado tomarme revisar empezando cometen rigor
10,automatizar tareas procesos repetitivos repetitivas manuales excel buscaría pueden internet
11,tecnologías usar disponibles uso técnicas posibilitar damos formar flujos existentes
12,herramientas utilizar propias buscar nuevas trabajo facilitar rendimiento llevar digitales
13,nuevas habilidades aprender competencias nueva tratar practica desarollar ofrezcan determinados
14,nuevas nuevos buscar mas proponer ideas formas metodologías innovar explorar
15,aprender compañeros conocer adquirir conocimientos areas delegar personas dependencias valiosas
16,música escuchar musica relajante suave mientras ambiente utilizar trabajo tenso
17,ejercicio hacer ejercicios yoga respiración meditación deporte mente meditar practicar
18,salud mental profesional ayuda psicológico terapia preocuparme mediante imporatnte ciertamente
19,delegar organización trabajo organizar tareas ser documentar entorno ascenso mejor
20,priorizar prioridades tareas importantes importante importancia primer orden prioridad primero
21,distracciones evitar eliminar audifonos externas avión procrastinación codicioso redundancias anti
22,evitar bajas junte efectivas solicitarlas acumulación suponer sobrecargas voluntaria burocracia
23,objetivos metas plazo corto claros cumplir establecer largo alcanzar ponerme
24,cursos habilidades formación puesto empresa mejorar oportunidades curso capacitarme buscaría
25,eficiente puedo mejorar desempeño productividad buscar ver manera tiempo mejores
26,planificar tiempo dia día crear horario cada semana metas organizarme
27,aceptar tareas propósito árbol puede delegar hacer estan poca encontrado
28,casa trabajo horario laboral desconectar móvil teléfono trabajar pensar desconectarme
29,tomar descansos dormir café pausas descanso tiempo descansar sueño suficiente
30,horas reducir jornada laboral trabajar horario extras trabajo extra horarios
31,responsabilidades responsabilidad superior nuevas mayor intentar it tener ascender delegar
32,consejos pedir consejo compañeros amigos preguntar persona nuevos consultar gente
33,trabajo si equipo nuevo puesto área tener ver entorno compañeros
34,si hablar hablaría ver intentaría saber puesto persona primero situación
35,equipo miembros coordinar building equitativa team repartir responsabilidades laborales comunicación
36,compañeros buena relación comunicación relaciones comunicacion tener colegas mantener buenas
37,hablar jefe compañeros problema superior problemas siento supervisor hablaría estrés
38,jefe preguntarle espera proyecto si empezar solicitar cambiar determinen definiera
39,preguntar superiores preguntarle voy mejorar tareas cómo trabajo elabore puedo
